Front,Back,Right,LeftRPM,RightRPM,Command
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
48,255,54,0.0,0.0,1
3,255,54,0.0,0.0,1
3,255,54,0.0,0.0,1
3,255,54,0.0,0.0,1
49,255,54,0.0,0.0,1
49,255,54,0.0,0.0,1
49,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
47,255,54,0.0,0.0,1
45,255,54,0.0,0.0,1
45,255,54,0.0,30.0,1
45,33,46,0.0,0.0,1
41,32,46,0.0,0.0,1
41,255,46,0.0,30.0,1
41,35,48,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,36,0.0,0.0,1
63,255,32,0.0,0.0,1
63,255,32,0.0,0.0,1
63,255,32,0.0,0.0,1
63,255,32,0.0,0.0,1
63,255,32,0.0,0.0,1
63,255,32,0.0,0.0,1
63,255,32,0.0,30.0,1
58,255,32,0.0,0.0,1
58,255,32,0.0,0.0,1
58,255,33,0.0,0.0,1
51,255,33,0.0,0.0,1
51,255,33,0.0,0.0,1
51,255,38,0.0,0.0,1
43,255,38,0.0,30.0,1
43,32,38,0.0,0.0,1
43,255,45,0.0,0.0,1
65,3,35,0.0,0.0,1
65,255,35,0.0,0.0,1
65,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
66,255,35,0.0,0.0,1
65,255,35,0.0,0.0,1
65,3,35,0.0,0.0,1
65,3,37,0.0,0.0,1
63,3,37,0.0,0.0,1
63,7,37,0.0,0.0,1
63,7,32,0.0,0.0,1
57,7,32,0.0,90.0,1
57,255,32,0.0,0.0,1
57,255,33,0.0,0.0,1
51,255,33,0.0,0.0,1
29,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
29,40,46,0.0,0.0,4
29,40,46,0.0,0.0,4
29,40,46,0.0,0.0,4
29,40,46,0.0,0.0,4
29,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
28,40,46,0.0,0.0,4
